package,component,fname
ggdibbler,geom,geom_density_sample
ggdibbler,geom,geom_dotplot_sample
ggdibbler,geom,geom_errorbar_sample
ggdibbler,geom,geom_freqpoly_sample
ggdibbler,geom,geom_hex_sample
ggdibbler,geom,geom_histogram_sample
ggdibbler,geom,geom_hline_sample
ggdibbler,geom,geom_jitter_sample
ggdibbler,geom,geom_label_sample
ggdibbler,geom,geom_line_sample
ggdibbler,geom,geom_linerange_sample
ggdibbler,geom,geom_path_sample
ggdibbler,geom,geom_point_sample
ggdibbler,geom,geom_pointrange_sample
ggdibbler,geom,geom_polygon_sample
ggdibbler,geom,geom_qq_line_sample
ggdibbler,geom,geom_qq_sample
ggdibbler,geom,geom_quantile_sample
ggdibbler,geom,geom_raster_sample
ggdibbler,geom,geom_rect_sample
ggdibbler,geom,geom_ribbon_sample
ggdibbler,geom,geom_rug_sample
ggdibbler,geom,geom_segment_sample
ggdibbler,geom,geom_sf_sample
ggdibbler,geom,geom_smooth_sample
ggdibbler,geom,geom_spoke_sample
ggdibbler,geom,geom_step_sample
ggdibbler,geom,geom_text_sample
ggdibbler,geom,geom_tile_sample
ggdibbler,geom,geom_violin_sample
ggdibbler,geom,geom_vline_sample
ggdibbler,stat,stat_align_sample
ggdibbler,stat,stat_bin_2d_sample
ggdibbler,stat,stat_bin_hex_sample
ggdibbler,stat,stat_bin_sample
ggdibbler,stat,stat_boxplot_sample
ggdibbler,stat,stat_connect_sample
ggdibbler,stat,stat_contour_filled_sample
ggdibbler,stat,stat_contour_sample
ggdibbler,stat,stat_count_sample
ggdibbler,stat,stat_density_2d_filled_sample
ggdibbler,stat,stat_density_2d_sample
ggdibbler,stat,stat_density_sample
ggdibbler,stat,stat_ecdf_sample
ggdibbler,stat,stat_ellipse_sample
ggdibbler,stat,stat_identity_sample
ggdibbler,stat,stat_manual_sample
ggdibbler,stat,stat_qq_line_sample
ggdibbler,stat,stat_qq_sample
ggdibbler,stat,stat_quantile_sample
ggdibbler,stat,stat_smooth_sample
ggdibbler,stat,stat_sum_sample
ggdibbler,stat,stat_summary_2d_sample
ggdibbler,stat,stat_summary_bin_sample
ggdibbler,stat,stat_summary_hex_sample
ggdibbler,stat,stat_summary_sample
ggdibbler,stat,stat_unique_sample
ggdibbler,stat,stat_ydensity_sample
ggdibbler,scale,scale_x_continuous_distribution
ggdibbler,scale,scale_x_discrete_distribution
ggdibbler,scale,scale_y_continuous_distribution
ggdibbler,scale,scale_y_discrete_distribution
ggdibbler,position,position_dodge_dodge
ggdibbler,position,position_dodge_identity
ggdibbler,position,position_identity_dodge
ggdibbler,position,position_identity_identity
ggdibbler,position,position_identity_stack
ggdibbler,position,position_nest
ggdibbler,position,position_stack_dodge
ggdibbler,position,position_stack_identity
ggdibbler,position,position_subdivide
ggdiceplot,geom,geom_dice
ggdiceplot,scale,scale_dots_discrete
ggdiceplot,theme,theme_dice
ggdist,geom,geom_blur_dots
ggdist,geom,geom_dots
ggdist,geom,geom_dotsinterval
ggdist,geom,geom_interval
ggdist,geom,geom_lineribbon
ggdist,geom,geom_pointinterval
ggdist,geom,geom_slab
ggdist,geom,geom_slabinterval
ggdist,geom,geom_spike
ggdist,geom,geom_swarm
ggdist,geom,geom_weave
ggdist,stat,stat_ccdfinterval
ggdist,stat,stat_cdfinterval
ggdist,stat,stat_dist_ccdfinterval
ggdist,stat,stat_dist_cdfinterval
ggdist,stat,stat_dist_dots
ggdist,stat,stat_dist_dotsinterval
ggdist,stat,stat_dist_eye
ggdist,stat,stat_dist_gradientinterval
ggdist,stat,stat_dist_halfeye
ggdist,stat,stat_dist_interval
ggdist,stat,stat_dist_lineribbon
ggdist,stat,stat_dist_pointinterval
ggdist,stat,stat_dist_slab
ggdist,stat,stat_dist_slabinterval
ggdist,stat,stat_dots
ggdist,stat,stat_dotsinterval
ggdist,stat,stat_eye
ggdist,stat,stat_gradientinterval
ggdist,stat,stat_halfeye
ggdist,stat,stat_histinterval
ggdist,stat,stat_interval
ggdist,stat,stat_lineribbon
ggdist,stat,stat_mcse_dots
ggdist,stat,stat_pointinterval
ggdist,stat,stat_ribbon
ggdist,stat,stat_sample_slabinterval
ggdist,stat,stat_slab
ggdist,stat,stat_slabinterval
ggdist,stat,stat_spike
ggdist,scale,scale_color_ramp_continuous
ggdist,scale,scale_color_ramp_discrete
ggdist,scale,scale_colour_ramp_continuous
ggdist,scale,scale_colour_ramp_discrete
ggdist,scale,scale_fill_ramp_continuous
ggdist,scale,scale_fill_ramp_discrete
ggdist,scale,scale_interval_alpha_continuous
ggdist,scale,scale_interval_alpha_discrete
ggdist,scale,scale_interval_color_continuous
ggdist,scale,scale_interval_color_discrete
ggdist,scale,scale_interval_colour_continuous
ggdist,scale,scale_interval_colour_discrete
ggdist,scale,scale_interval_linetype_continuous
ggdist,scale,scale_interval_linetype_discrete
ggdist,scale,scale_interval_size_continuous
ggdist,scale,scale_interval_size_discrete
ggdist,scale,scale_point_alpha_continuous
ggdist,scale,scale_point_alpha_discrete
ggdist,scale,scale_point_color_continuous
ggdist,scale,scale_point_color_discrete
ggdist,scale,scale_point_colour_continuous
ggdist,scale,scale_point_colour_discrete
ggdist,scale,scale_point_fill_continuous
ggdist,scale,scale_point_fill_discrete
ggdist,scale,scale_point_size_continuous
ggdist,scale,scale_point_size_discrete
ggdist,scale,scale_side_mirrored
ggdist,scale,scale_slab_alpha_continuous
ggdist,scale,scale_slab_alpha_discrete
ggdist,scale,scale_slab_color_continuous
ggdist,scale,scale_slab_color_discrete
ggdist,scale,scale_slab_colour_continuous
ggdist,scale,scale_slab_colour_discrete
ggdist,scale,scale_slab_fill_continuous
ggdist,scale,scale_slab_fill_discrete
ggdist,scale,scale_slab_linetype_continuous
ggdist,scale,scale_slab_linetype_discrete
ggdist,scale,scale_slab_linewidth_continuous
ggdist,scale,scale_slab_linewidth_discrete
ggdist,scale,scale_slab_shape_continuous
ggdist,scale,scale_slab_shape_discrete
ggdist,scale,scale_slab_size_continuous
ggdist,scale,scale_slab_size_discrete
ggdist,scale,scale_thickness_identity
ggdist,scale,scale_thickness_shared
ggdist,facet,facet_title_horizontal
ggdist,facet,facet_title_left_horizontal
ggdist,facet,facet_title_right_horizontal
ggdist,theme,theme_ggdist
ggdist,theme,theme_tidybayes
ggdist,position,position_dodgejust
ggdist,guide,guide_colorbar2
ggdist,guide,guide_colourbar2
ggdist,guide,guide_rampbar
ggDoE,theme,theme_bw_nogrid
ggDoubleHeat,geom,geom_heat_circle
ggDoubleHeat,geom,geom_heat_grid
ggDoubleHeat,geom,geom_heat_tri
ggDoubleHeat,theme,theme_heat
ggetho,geom,geom_peak
ggetho,stat,stat_bar_tile_etho
ggetho,stat,stat_ld_annotations
ggetho,stat,stat_pop_etho
ggetho,stat,stat_tile_etho
ggetho,scale,scale_x_days
ggetho,scale,scale_x_hours
ggetho,scale,scale_x_seconds
