package,component,fname,dep_type
ggallin,geom,geom_cloud,imports or depends
ggalluvial,geom,geom_alluvium,imports or depends
ggalluvial,geom,geom_flow,imports or depends
ggalluvial,geom,geom_lode,imports or depends
ggalluvial,geom,geom_stratum,imports or depends
ggalluvial,stat,stat_alluvium,imports or depends
ggalluvial,stat,stat_flow,imports or depends
ggalluvial,stat,stat_stratum,imports or depends
GGally,geom,geom_stripped_cols,imports or depends
GGally,geom,geom_stripped_rows,imports or depends
GGally,stat,stat_cross,imports or depends
GGally,stat,stat_ggally_count,imports or depends
GGally,stat,stat_prop,imports or depends
GGally,stat,stat_weighted_mean,imports or depends
ggarchery,geom,geom_arrowsegment,imports or depends
ggarchery,position,position_attractsegment,imports or depends
ggarrow,geom,geom_arrow,imports or depends
ggarrow,geom,geom_arrow_chain,imports or depends
ggarrow,geom,geom_arrow_curve,imports or depends
ggarrow,geom,geom_arrow_segment,imports or depends
ggarrow,scale,scale_arrow_fins_continuous,imports or depends
ggarrow,scale,scale_arrow_fins_discrete,imports or depends
ggarrow,scale,scale_arrow_head_continuous,imports or depends
ggarrow,scale,scale_arrow_head_discrete,imports or depends
ggarrow,scale,scale_arrow_mid_continuous,imports or depends
ggarrow,scale,scale_arrow_mid_discrete,imports or depends
ggarrow,scale,scale_resect_continuous,imports or depends
ggarrow,scale,scale_resect_discrete,imports or depends
ggautomap,geom,geom_boundaries,imports or depends
ggautomap,geom,geom_centroids,imports or depends
ggautomap,geom,geom_choropleth,imports or depends
ggautomap,geom,geom_geoscatter,imports or depends
ggautomap,geom,geom_inset_frame,imports or depends
ggautomap,geom,geom_sf_inset,imports or depends
ggautomap,geom,geom_sf_label_inset,imports or depends
ggautomap,geom,geom_sf_text_inset,imports or depends
ggautomap,stat,stat_automap,imports or depends
ggautomap,stat,stat_automap_coords,imports or depends
ggautomap,stat,stat_choropleth,imports or depends
ggautomap,stat,stat_geoscatter,imports or depends
ggautomap,stat,stat_sf_inset,imports or depends
ggautomap,coord,coord_automap,imports or depends
ggautomap,position,position_circle_repel,imports or depends
ggautomap,position,position_circle_repel_sf,imports or depends
ggbeeswarm,geom,geom_beeswarm,imports or depends
ggbeeswarm,geom,geom_quasirandom,imports or depends
ggbeeswarm,position,position_beeswarm,imports or depends
ggbeeswarm,position,position_quasirandom,imports or depends
ggblanket,scale,scale_x_symmetric,imports or depends
ggblanket,scale,scale_y_symmetric,imports or depends
ggborderline,geom,geom_borderline,imports or depends
ggborderline,geom,geom_borderpath,imports or depends
ggborderline,geom,geom_borderstep,imports or depends
ggborderline,scale,scale_bordercolour_continuous,imports or depends
ggborderline,scale,scale_bordercolour_discrete,imports or depends
ggborderline,scale,scale_borderwidth_continuous,imports or depends
ggborderline,scale,scale_borderwidth_discrete,imports or depends
ggbrace,stat,stat_brace,imports or depends
ggbrace,stat,stat_bracetext,imports or depends
ggbrain,geom,geom_brain,imports or depends
ggbrain,geom,geom_outline,imports or depends
ggbrain,geom,geom_region_label,imports or depends
ggbrain,geom,geom_region_label_repel,imports or depends
ggbrain,geom,geom_region_text,imports or depends
ggbrain,geom,geom_region_text_repel,imports or depends
ggbrain,scale,scale_fill_bisided,imports or depends
ggbreak,scale,scale_wrap,imports or depends
ggbreak,scale,scale_x_break,imports or depends
ggbreak,scale,scale_x_cut,imports or depends
ggbreak,scale,scale_y_break,imports or depends
ggbreak,scale,scale_y_cut,imports or depends
ggbrick,geom,geom_brick,imports or depends
ggbrick,geom,geom_brick0,imports or depends
ggbrick,geom,geom_waffle,imports or depends
ggbrick,geom,geom_waffle0,imports or depends
ggbrick,coord,coord_brick,imports or depends
ggbrick,coord,coord_waffle,imports or depends
ggcharts,theme,theme_ggcharts,imports or depends
ggcharts,theme,theme_hermit,imports or depends
ggcharts,theme,theme_ng,imports or depends
ggcharts,theme,theme_nightblue,imports or depends
ggChernoff,geom,geom_chernoff,imports or depends
ggChernoff,scale,scale_brow,imports or depends
